Cube_Num,K_Scramble,Scramble,Solution,Solution_Length,Time_ms
1,7,"U' L' F' B' L B D'","D B' L' F B L U",7,14.0935
2,7,"L' U F' L B U L'","L U' B' L' F U' L",7,0.0155
3,7,"U B' L' F D U' B'","B U D' F' L B U'",7,0.0170
4,7,"U' L B L' D' U F","F' U' D L B' L' U",7,0.1080
5,7,"U' R D' L' U D' F","F' U U2 D L D R' U",8,0.0156
6,7,"R' U' L' D B' U' R","R' U B D' L U R",7,0.0127
7,7,"U L' U F L R L'","R' F' U' L U'",5,0.0056
8,7,"B L U' D U L U'","U L' D' L' B'",5,0.0076
9,7,"B' D F R F' L' U'","U L F R' F' D' B",7,0.0260
10,7,"F' R' U F R' B' D'","D B R F' U' R F",7,0.0215
11,7,"R F' R L' D' F' B","B' F D R' L F R'",7,0.0809
12,7,"B L' R' F' R' U R'","R U' R F R L B'",7,0.0123
13,7,"F D F' B' F' R D","D' R' F2 B D' F'",6,0.0109
14,7,"D B' D U' D F' U","U' F U D2 B D'",6,0.0052
15,7,"L U' L R U L D'","D L' U' R' L' U L'",7,0.0456
16,7,"F' D L' F B F' L","L' B' L D' F",5,0.0066
17,7,"D' B' R D' F' D' L","L' D F D R' B D",7,0.0162
18,7,"F' D R B L D R'","R D' L' B' R' D' F",7,0.1110
19,7,"D' F' D' L B L' D","D' L B' L' D F D",7,0.0733
20,7,"D' F B' L R' B F","F' B' R L' F' B D",7,0.1217
21,7,"F L' B' D' R L U","U' R' L' D B L F'",7,0.0353
22,7,"R L' D' R' F' B L'","L F B' R D R' L",7,0.1321
23,7,"D R' B' D' R D' L'","L D R' D B R D'",7,0.0511
24,7,"L' D L F' D' B' F'","F B D F L' D' L",7,0.5509
25,7,"D U' F' B' R D L","L' D' R' F B U D'",7,0.1045
26,7,"L' U L' F U L U","U' L' U' F' L U' L",7,0.0587
27,7,"F' R D U' R U' L'","L U R' U D' R' F",7,0.0475
28,7,"B' U D' U' L R D","D' R' L' D B",5,0.0145
29,7,"U R' B D' R' D L'","L D' R D B' R U'",7,0.0438
30,7,"F' U' D U' D' F R","R' F' U2 F",4,0.0049
31,7,"R L' R F' L' B' U'","U B L F R2 L",6,0.0113
32,7,"D U' D B F U L'","L U' F' B' U D2",6,0.0354
33,7,"U B L R' L U' R","R' U R L2 B' U'",6,0.0586
34,7,"F L' D' F' L D F'","F D' L' F D L F'",7,0.0263
35,7,"R' B R' B L' B' F","F' B L B' R B' R",7,0.2823
36,7,"F D F L' R D' F'","F D R' L F' D' F'",7,0.0205
37,7,"L B' F L' U D U'","D' L F' B L'",5,0.0111
38,7,"R' U B' L U' B L","L' B' U L' B U' R",7,0.0568
39,7,"D R D' R D L B","B' L' D' R' D R' D'",7,0.1159
40,7,"F' B U R F R' U'","U R F' R' U' F B'",7,0.0246
41,7,"U' L' B' R B' L' D'","D L B R' B L U",7,0.0384
42,7,"D' U F U' R' U R'","R U' R U F' U' D",7,0.0818
43,7,"L B U B F' R U","U' R' F B' U' B' L'",7,0.0222
44,7,"R U' L' D' B R U","U' R' B' D L U R'",7,0.0258
45,7,"R D' R F B' L' B'","B L F' B R' D R'",7,0.1519
46,7,"U L' F' R U R' L","R L' U' R' F L U'",7,0.0584
47,7,"U B U' B' R' D' U'","U D R B U B' U'",7,0.0272
48,7,"U' F R' B' R D L","L' D' R' B R F' U",7,0.0455
49,7,"B F' D' F U R L","R' L' U' F' D F B'",7,0.5365
50,7,"L' B' D' U' L U' L","L' U L' U D B L",7,0.0158
51,7,"F U' L' D' B R' U","U' R B' D L U F'",7,0.0189
52,7,"F' L R' B U' F' D","D' F U B' R L' F",7,0.0229
53,7,"L F R L' B' R' L'","R L B R' L F' L'",7,0.2857
54,7,"F U F R F R' L","R L' F' R' F' U' F'",7,0.6126
55,7,"B' D B R U' L R'","R L' U R' B' D' B",7,0.0266
56,7,"R L' B U D' F U","U' F' U' D B' R' L",7,0.0240
57,7,"U R F U B L D","D' L' B' U' F' R' U'",7,0.0248
58,7,"L R' U' L U L' B'","B L U' L' U R L'",7,0.0926
59,7,"L' B R' B L U D","U' D' L' B' R B' L",7,0.0469
60,7,"L D' L F' L' D B'","B D' L F L' D L'",7,0.0803
61,7,"R L' D' R B U' R'","R U B' R' D R' L",7,0.0164
62,7,"D' U D U D' U' L","L' U' D",3,0.0058
63,7,"D' R D U F B F","F2 B' U' D' R' D",6,0.0253
64,7,"B' R' B' L B' R F'","F R' B L' B R B",7,0.0303
65,7,"R U' F U D L' U'","U L U' D' F' U R'",7,0.0604
66,7,"B D U' D L U' D'","U D L' U D2 B'",6,0.0066
67,7,"U D' R' F' D L' D","D' L D' F R U' D",7,0.0190
68,7,"F B' L' R' B R' L","R L' B' R L F' B",7,0.0711
69,7,"B' D' R' D L' F' R","R' F L D' R D B",7,0.0187
70,7,"R L' B' U B R D","D' R' B' U' B R' L",7,0.6220
71,7,"D' F L R B D L","L' D' B' R' L' F' D",7,0.0659
72,7,"D' B' F D F B U","U' F' B' D' F' B D",7,0.0651
73,7,"F D L' B' D F' L","L' F D' B L D' F'",7,0.0346
74,7,"U D' L' B' F' B' R","R' F B2 L U' D",6,0.0136
75,7,"D' B' F B' U' D' U'","U2 D F' B2 D",5,0.0053
76,7,"R' F D F' B D' L'","L D F B' D' F' R",7,0.0506
77,7,"R L F' L U F' D'","D F U' L' F R' L'",7,0.0359
78,7,"L B' D' B L F D","D' F' L' B' D B L'",7,0.0517
79,7,"U R L' D' B' D U'","U D' B D R' L U'",7,0.0143
80,7,"D F' B' L' D' F' R","R' F D L F B D'",7,0.0549
81,7,"B' L' F R' B' L R","R' L' B R F' L B",7,0.1147
82,7,"B' L' R' F D B F","F' B' D' F' R L B",7,0.0234
83,7,"B R B' D B' L' D","L D' B D' R'",5,0.0061
84,7,"D' F' B F' B' U' B","B' U F2 D",4,0.0045
85,7,"U' R' U B F' B R","R' F B2 U' R U",6,0.0117
86,7,"L' D' L' U L U D'","U' D L' U' L D L",7,0.3714
87,7,"R D' B D' F' D' R","R' D F D B' D R'",7,0.0173
88,7,"U' B' D B F' D F'","F D' F B' D' B U",7,0.1081
89,7,"F L' R' L R' B' L'","L B R2 F'",4,0.0064
90,7,"R' U' F R L B' D","D' B R' L' F' U R",7,0.0489
91,7,"R' U F U B' R' B'","B R B U' F' U' R",7,0.0363
92,7,"D B' R D' B L' D'","D L B' D R' B D'",7,0.0261
93,7,"L B D L D' U L","L' U' D L' D' B' L'",7,0.0461
94,7,"R L' U' D' L D R","R' D' L' U D R' L",7,0.1122
95,7,"L R U L R' U' R","R' U R L' U' R' L'",7,0.0323
96,7,"U' D' F' L U L R'","R L' U' L' F U D",7,0.0660
97,7,"R U' R' L R' D R","R' D' R2 L' U R'",6,0.0102
98,7,"D' U R L R' U' B'","B U L' U' D",5,0.0087
99,7,"D' R B' F D R B","B' R' D' F' B R' D",7,0.0481
100,7,"F' U' R' F' L B F","F' B' L' F R U F",7,0.0282
101,8,"L' U' L F U L' U' F'","F U L U' F' L' U L",8,0.3473
102,8,"L' F' B' U' D' F L' F'","F L F' U D F B L",8,0.2123
103,8,"R F' U' R' F' U' R D'","D R' U F R U F R'",8,0.4460
104,8,"U' F U' B' F B D' B","B' D F' U F' U",6,0.0322
105,8,"R' U' F' D' L F L R'","L' R F' L' D F U R",8,0.0650
106,8,"D' R' U R' B F' D R","R' D' F B' R U' R D",8,0.0865
107,8,"U' L D R' F D L' U","U' L D' F' R D' L' U",8,0.0436
108,8,"B' U' D R' D' R' B L","L' B' R D R U D' B",8,0.5036
109,8,"B D' B' D' U' B D' U'","U D B' U D B D B'",8,1.0143
110,8,"R' D F L' D' B F' B'","F D L F' D' R",6,0.0241
111,8,"U R' F' L F R B R","R' B' R' F' L' F R U'",8,0.0740
112,8,"L F' D' U' R F' U' R'","R U F R' U D F L'",8,0.1495
113,8,"R' F L D' U' B R L","L' R' B' U D L' F' R",8,0.0850
114,8,"L' U' B F' L U L B","B' L' U' L' F B' U L",8,0.1389
115,8,"B L' U R B' D' L U'","U L' D B R' U' L B'",8,0.0393
116,8,"L' F' B' D' U D U B'","B U2 F B L",5,0.0075
117,8,"F L D F' U B F U","U' F' B' U' F D' L' F'",8,0.0997
118,8,"B' F D L' B R' F U'","U F' R B' L D' F' B",8,0.1902
119,8,"F' B' L' F B' U B' L","L' B U' F' B L F B",8,1.0502
120,8,"U' R' U' L U' B F' R","R' F B' U L' U R U",8,0.1709
121,8,"B R D' B' D' R F' B'","F B R' D B D R' B'",8,0.1311
122,8,"L' R B L D' U' F R","R' F' U D L' B' R' L",8,0.0180
123,8,"F L F U B' L' F U","U' F' L B U' F' L' F'",8,0.0318
124,8,"B U' R' B R' B U' F'","F U B' R B' R U B'",8,0.0306
125,8,"L U' L' B' L R' F U'","U F' R L' B L U L'",8,0.0728
126,8,"D' F L F' U' D B' F'","F B U D' F L' F' D",8,0.3950
127,8,"F' R' B' L' F' L F' B'","F B L' F L B R F",8,0.3066
128,8,"F' L B L F' B' R L'","L R' F B L' B' L' F",8,2.4033
129,8,"D' R' U' D' R' B D L","L' D' B' R U D R D",8,0.1380
130,8,"F R D' L U' R F L","L' F' R' U L' D R' F'",8,0.0389
131,8,"D F R F' U' F' U F","F' U' F U F R' F' D'",8,0.1916
132,8,"L' B L' R' F R' D' F'","F D R F' R L B' L",8,0.0424
133,8,"U' B U F R D' B F","F' B' D R' F' U' B' U",8,0.0708
134,8,"R' F U' L U' R L' F'","F L R' U L' U F' R",8,0.1083
135,8,"B U B D' U' D' F' L","L' F U D2 B' U' B'",7,0.0337
136,8,"F L' B' L' B F' U' L","L' U F B' L B L F'",8,0.9582
137,8,"D F U' D U' F B' D'","D F' B U2 D' F' D'",7,0.0255
